Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Arabica,El Salvador,19,1,2012.0,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,10.0,7.92,10.0,10.0,8.17,7.92,85.58,0.11,0,0.0,None,0
Arabica,United States (Hawaii),8,50,2012.0,Natural / Dry,7.83,8.0,7.92,7.75,10.0,8.08,10.0,10.0,8.0,8.0,85.58,0.0,0,0.0,,1
Arabica,Panama,100,60,2014.0,Natural / Dry,8.0,7.75,7.83,7.83,10.0,7.67,10.0,10.0,8.58,7.83,85.5,0.09,2,0.0,,2
Arabica,Kenya,16,60,2014.0,Natural / Dry,7.92,7.92,7.83,8.08,10.0,7.83,10.0,10.0,7.92,8.0,85.5,0.1,0,0.0,Green,3
Arabica,Ethiopia,320,60,2015.0,Natural / Dry,7.83,8.0,7.83,7.92,10.0,7.83,10.0,10.0,8.08,8.0,85.5,0.12,0,0.0,Green,7
Arabica,Uganda,320,60,2013.0,Washed / Wet,8.33,7.92,7.67,7.92,10.0,7.67,10.0,10.0,7.92,8.08,85.5,0.12,0,0.0,Green,1
Arabica,Guatemala,250,69,2013.0,Washed / Wet,8.0,7.83,7.67,8.33,10.0,7.83,10.0,10.0,8.0,7.83,85.5,0.11,0,0.0,Green,1
Arabica,Ethiopia,320,60,2015.0,Washed / Wet,7.75,7.83,7.83,8.17,10.0,7.92,10.0,10.0,7.83,8.08,85.42,0.1,0,0.0,Green,18
Arabica,Uganda,150,60,2013.0,Washed / Wet,8.08,8.0,7.83,7.67,10.0,8.0,10.0,10.0,7.83,8.0,85.42,0.12,0,0.0,Green,5
Arabica,United States (Hawaii),8,50,2012.0,Natural / Dry,7.92,7.92,7.75,7.92,10.0,7.75,10.0,10.0,7.92,8.25,85.42,0.0,4,0.0,,6
Arabica,Brazil,5,60,2011.0,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,10.0,7.75,10.0,10.0,8.0,8.0,85.42,0.11,0,0.0,Blue-Green,1
Arabica,El Salvador,2,"1 ,lbs",2010.0,,8.08,7.83,7.83,8.08,10.0,7.83,10.0,10.0,7.83,7.92,85.42,0.01,0,0.0,,0
